loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status,source_system
LN00000,BR00000,FIXED,2016-03-04,2045-09-28,221088.08,0.00,12.28,360,NY,REFI,D,4,>150K,CLOSED,0,Acme Servicing,2024-05-15,2024-05-24,COMPLETE,ORIG_SYS
LN00001,BR00001,FIXED,2018-10-21,2033-08-03,168642.41,0.00,14.45,180,PA,REFI,D,30,100K-150K,CLOSED,0,Cardinal Mortgage Co,2024-05-05,2024-04-13,COMPLETE,ORIG_SYS
LN00002,BR00002,ARM,2020-12-07,2030-10-16,150239.15,0.00,4.12,120,GA,PURCHASE,A,23,<50K,CLOSED,0,Cardinal Mortgage Co,2024-06-22,2024-04-19,COMPLETE,ORIG_SYS
LN00003,BR00003,FIXED,2017-10-05,2032-07-18,489996.17,318497.51,8.75,180,CA,REFI,C,30,50K-100K,CURRENT,0,BlueRiver Loan Servicing,2024-06-20,2024-04-04,COMPLETE,ORIG_SYS
LN00004,BR00004,FIXED,2020-07-01,2050-01-25,119063.38,0.00,10.82,360,TX,CASHOUT,C,3,>150K,CLOSED,0,BlueRiver Loan Servicing,2024-06-05,2024-03-24,COMPLETE,ORIG_SYS
LN00005,BR00005,FIXED,2020-12-03,2050-06-29,441091.18,374927.50,12.48,360,WA,CASHOUT,D,16,<50K,CURRENT,0,Acme Servicing,2024-05-16,2024-06-04,COMPLETE,ORIG_SYS
LN00006,BR00006,ARM,2016-05-12,2031-02-23,379954.24,189977.12,14.00,180,NY,REFI,D,3,50K-100K,DELINQUENT,131,Cardinal Mortgage Co,2024-05-17,2024-05-24,COMPLETE,ORIG_SYS
LN00007,BR00007,ARM,2020-01-08,2039-09-25,182075.70,160226.62,11.10,240,WA,REFI,D,23,100K-150K,CURRENT,0,Cardinal Mortgage Co,2024-06-14,2024-06-16,COMPLETE,ORIG_SYS
LN00008,BR00008,FIXED,2021-10-07,2051-05-03,289049.49,124291.28,6.68,360,NY,CASHOUT,B,1,>150K,DELINQUENT,30,Acme Servicing,2024-05-18,2024-06-07,COMPLETE,ORIG_SYS
LN00009,BR00009,FIXED,2017-11-10,2027-09-19,336704.73,0.00,5.36,120,NY,REFI,A,4,50K-100K,CLOSED,0,Cardinal Mortgage Co,2024-06-26,2024-06-14,COMPLETE,ORIG_SYS
